IncidentNumber,DateOfCall,TimeOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending
002805-07012017,07.Jan.17,02:03:38,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,N4,E09000019,ISLINGTON,E05000381,TOLLINGTON,NULL,NULL,530350,187150,London,Holloway,199,Holloway,408,Kentish Town,2,2
002806-07012017,07.Jan.17,02:04:53,False Alarm,False alarm - Good intent,,Road Vehicle,Car ,In street close to gazetteer location,N17 9SR,N17,E09000014,HARINGEY,E05000281,TOTTENHAM HALE,534643,190397,534650,190350,London,Tottenham,237,Tottenham,NULL,,1,1
002807-07012017,07.Jan.17,02:13:59,False Alarm,AFA,,Non Residential,Club/night club ,Correct incident location,SW15 2SH,SW15,E09000032,WANDSWORTH,E05000625,THAMESFIELD,523992,175061,523950,175050,London,Wandsworth,173,Wandsworth,NULL,,1,1
002810-07012017,07.Jan.17,02:28:05,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W10,E09000020,KENSINGTON AND CHELSEA,E05009396,GOLBORNE,NULL,NULL,524450,182050,London,North Kensington,220,North Kensington,NULL,,1,1
002811-07012017,07.Jan.17,02:30:47,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,SW18,E09000032,WANDSWORTH,E05000612,EARLSFIELD,NULL,NULL,526050,172650,London,Tooting,298,Tooting,317,Tooting,1,2
002814-07012017,07.Jan.17,02:57:43,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,EC1Y,E09000019,ISLINGTON,E05000367,BUNHILL,NULL,NULL,532550,182050,London,Shoreditch,229,Shoreditch,604,Dowgate,2,2
002815-07012017,07.Jan.17,03:05:02,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,UB7,E09000017,HILLINGDON,E05000345,YIEWSLEY,NULL,NULL,506050,180150,London,Hillingdon,358,Heathrow,NULL,,1,1
002816-07012017,07.Jan.17,03:14:13,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,SW5,E09000020,KENSINGTON AND CHELSEA,E05009393,COURTFIELD,NULL,NULL,526250,178550,London,Chelsea,280,Chelsea,314,Kensington,2,2
002817-07012017,07.Jan.17,03:24:19,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,N12,E09000003,BARNET,E05000059,TOTTERIDGE,NULL,NULL,524950,192950,London,Barnet,481,Finchley,493,Finchley,1,2
002819-07012017,07.Jan.17,03:34:01,False Alarm,False alarm - Malicious,,Dwelling,Bungalow - single occupancy ,Correct incident location,,HA3,E09000005,BRENT,E05000093,KENTON,NULL,NULL,517850,188650,London,Stanmore,488,Stanmore,NULL,,1,1
002820-07012017,07.Jan.17,03:42:31,False Alarm,AFA,,Non Residential,Sewage works ,Correct incident location,E15 2RW,E15,E09000025,NEWHAM,E05000492,STRATFORD AND NEW TOWN,538715,183225,538750,183250,London,Stratford,281,Stratford,NULL,,1,1
002821-07012017,07.Jan.17,03:48:39,False Alarm,AFA,,Other Residential,Student Hall of Residence ,Correct incident location,NW1 0TU,NW1,E09000007,CAMDEN,E05000143,ST. PANCRAS AND SOMERS TOWN,529535,183645,529550,183650,London,Euston,293,Euston,NULL,,1,1
002822-07012017,07.Jan.17,04:00:49,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E17,E09000031,WALTHAM FOREST,E05000606,MARKHOUSE,NULL,NULL,536350,188050,London,Walthamstow,447,Walthamstow,NULL,,1,1
002823-07012017,07.Jan.17,04:15:21,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,N5,E09000019,ISLINGTON,E05000372,HIGHBURY EAST,NULL,NULL,531950,185750,London,Stoke Newington,NULL,,NULL,,1,1
002824-07012017,07.Jan.17,04:19:51,Special Service,Special Service,Flooding,Non Residential,Police station ,Correct incident location,BR1 1ER,BR1,E09000006,BROMLEY,E05000109,BROMLEY TOWN,540470,168632,540450,168650,London,Bromley,319,Bromley,NULL,,1,1
002829-07012017,07.Jan.17,04:43:11,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Open land/water - nearest gazetteer location,W2 1JP,W2,E09000033,WESTMINSTER,E05000636,HYDE PARK,526525,181665,526550,181650,London,Paddington,277,Paddington,NULL,,1,1
002831-07012017,07.Jan.17,04:52:22,False Alarm,AFA,,Dwelling,House - single occupancy ,Within same building,,N5,E09000019,ISLINGTON,E05000372,HIGHBURY EAST,NULL,NULL,532150,185750,London,Stoke Newington,278,Stoke Newington,312,Stoke Newington,1,2
002832-07012017,07.Jan.17,04:56:54,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW11,E09000032,WANDSWORTH,E05000619,NORTHCOTE,NULL,NULL,526950,175250,London,Battersea,168,Battersea,279,Wandsworth,2,2
002834-07012017,07.Jan.17,05:06:29,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,House - single occupancy ,Correct incident location,,E12,E09000025,NEWHAM,E05000487,LITTLE ILFORD,NULL,NULL,542750,185150,London,East Ham,412,Stratford,NULL,,1,1
002836-07012017,07.Jan.17,05:33:39,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,BR2 9LE,BR2,E09000006,BROMLEY,E05000109,BROMLEY TOWN,541447,168662,541450,168650,London,Bromley,284,Bromley,NULL,,1,1
002837-07012017,07.Jan.17,05:33:57,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W9,E09000033,WESTMINSTER,E05000639,LITTLE VENICE,NULL,NULL,526150,182150,London,Paddington,201,Paddington,209,Paddington,1,2
002839-07012017,07.Jan.17,05:35:27,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,SW17 0QT,SW17,E09000032,WANDSWORTH,E05000626,TOOTING,527101,171427,527150,171450,London,Tooting,344,Tooting,349,Tooting,1,2
002840-07012017,07.Jan.17,05:39:57,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W2,E09000033,WESTMINSTER,E05000636,HYDE PARK,NULL,NULL,527450,180950,London,Paddington,452,Soho,458,Soho,1,2
002841-07012017,07.Jan.17,06:06:08,Special Service,Special Service,No action (not false alarm),Boat,Barge ,Open land/water - nearest gazetteer location,TW8 8JW,TW8,E09000018,HOUNSLOW,E05000364,SYON,517320,177430,517350,177450,London,Heston,303,Heston,373,Heston,2,3
002842-07012017,07.Jan.17,06:15:19,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE26,E09000023,LEWISHAM,E05000444,FOREST HILL,NULL,NULL,534350,172050,London,Forest Hill,338,Forest Hill,NULL,,1,1
002844-07012017,07.Jan.17,06:21:02,Special Service,Special Service,No action (not false alarm),Road Vehicle,Motorcycle ,On motorway / elevated road,DA1 1NF,DA1,E00000000, Not geo-coded,E00000000, Not geo-coded,555311,172031,555350,172050,OverTheBorder,OverTheBorder,NULL,,NULL,,2,2
002845-07012017,07.Jan.17,06:36:14,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E16 3NS,E16,E09000025,NEWHAM,E05000479,CUSTOM HOUSE,540850,181364,540850,181350,London,Plaistow,238,Plaistow,NULL,,1,1
002852-07012017,07.Jan.17,06:39:45,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE18,E09000011,GREENWICH,E05000230,WOOLWICH RIVERSIDE,NULL,NULL,542250,178950,London,East Greenwich,711,East Greenwich,NULL,,1,1
002854-07012017,07.Jan.17,06:41:59,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,EC1N,E09000007,CAMDEN,E05000138,HOLBORN AND COVENT GARDEN,NULL,NULL,531150,181950,London,Soho,295,Soho,305,Soho,1,2
002855-07012017,07.Jan.17,06:42:20,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW9,E09000022,LAMBETH,E05000421,FERNDALE,NULL,NULL,531050,175950,London,Brixton,269,Brixton,283,Brixton,1,2
002857-07012017,07.Jan.17,07:05:34,False Alarm,AFA,,Non Residential,Other education establishment,Correct incident location,N10 3JA,N10,E09000014,HARINGEY,E05000270,FORTIS GREEN,528194,189194,528150,189150,London,Hornsey,308,Hornsey,NULL,,1,1
002858-07012017,07.Jan.17,07:11:55,Special Service,Special Service,Advice Only,Outdoor,Cycle path/public footpath/bridleway ,In street outside gazetteer location,E17 8JP,E17,E09000031,WALTHAM FOREST,E05000603,LEA BRIDGE,537270,187993,537250,187950,London,Leyton,267,Leyton,NULL,,1,1
002859-07012017,07.Jan.17,07:13:06,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W11,E09000020,KENSINGTON AND CHELSEA,E05009399,NOTTING DALE,NULL,NULL,524050,181250,London,North Kensington,227,North Kensington,255,North Kensington,1,2
002860-07012017,07.Jan.17,07:14:50,False Alarm,AFA,,Non Residential,Food and drink processing,Correct incident location,HA4 0JA,HA4,E09000017,HILLINGDON,E05000338,SOUTH RUISLIP,512180,185496,512150,185450,London,Northolt,427,Northolt,NULL,,1,1
002861-07012017,07.Jan.17,07:15:09,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE20,E09000006,BROMLEY,E05000123,PENGE AND CATOR,NULL,NULL,535450,170550,London,Beckenham,NULL,,NULL,,1,1
002863-07012017,07.Jan.17,07:16:33,False Alarm,AFA,,Non Residential,Underground car park,Correct incident location,W1G 9HF,W1G,E09000033,WESTMINSTER,E05000649,WEST END,528763,181517,528750,181550,London,Soho,368,Euston,NULL,,1,1
002864-07012017,07.Jan.17,07:19:09,False Alarm,AFA,,Other Residential,Hotel/motel ,Correct incident location,W8 5SR,W8,E09000020,KENSINGTON AND CHELSEA,E05009388,ABINGDON,525681,179278,525650,179250,London,Kensington,240,Kensington,NULL,,1,1
002866-07012017,07.Jan.17,07:37:35,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,NW1,E09000033,WESTMINSTER,E05000634,CHURCH STREET,NULL,NULL,527250,181950,London,Paddington,384,Paddington,392,Paddington,1,2
002867-07012017,07.Jan.17,07:43:04,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,W12 9DL,W12,E09000013,HAMMERSMITH AND FULHAM,E05000251,ASKEW,522031,180086,522050,180050,London,Acton,262,Hammersmith,274,Hammersmith,1,2
002868-07012017,07.Jan.17,08:00:10,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W9,E09000033,WESTMINSTER,E05000639,LITTLE VENICE,NULL,NULL,526150,182150,London,Paddington,158,Paddington,166,Paddington,1,2
002869-07012017,07.Jan.17,08:03:28,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,UB6 0AD,UB6,E09000009,EALING,E05000178,GREENFORD GREEN,515342,183870,515350,183850,London,Northolt,355,Northolt,NULL,,1,1
002870-07012017,07.Jan.17,08:04:19,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW19,E09000024,MERTON,E05000472,VILLAGE,NULL,NULL,523450,172550,London,Wandsworth,248,Wandsworth,NULL,,2,2
002872-07012017,07.Jan.17,08:07:44,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,IG11,E09000002,BARKING AND DAGENHAM,E05000039,THAMES,NULL,NULL,546550,182250,London,Barking,NULL,,NULL,,1,1
002873-07012017,07.Jan.17,08:09:01,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,HA6,E09000017,HILLINGDON,E05000336,NORTHWOOD HILLS,NULL,NULL,510550,191050,London,Ruislip,361,Harrow,NULL,,1,1
002874-07012017,07.Jan.17,08:09:52,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,SE15,E09000028,SOUTHWARK,E05000553,THE LANE,NULL,NULL,534450,176650,London,Peckham,215,New Cross,NULL,,1,1
002875-07012017,07.Jan.17,08:11:43,False Alarm,AFA,,Non Residential,Single shop ,Within same building,SW3 4HN,SW3,E09000020,KENSINGTON AND CHELSEA,E05009403,ROYAL HOSPITAL,527758,177934,527750,177950,London,Chelsea,206,Chelsea,NULL,,1,1
002877-07012017,07.Jan.17,08:24:55,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,RM6,E09000026,REDBRIDGE,E05000498,CHADWELL,NULL,NULL,546850,188650,London,Ilford,524,Ilford,NULL,,1,1
002879-07012017,07.Jan.17,08:31:38,False Alarm,False alarm - Good intent,,Non Residential,Purpose built office ,Within same building,SE1 3HA,SE1,E09000028,SOUTHWARK,E05000542,GRANGE,533351,179600,533350,179650,London,Dockhead,306,Dowgate,NULL,,2,2
002880-07012017,07.Jan.17,08:33:56,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SM4,E09000024,MERTON,E05000470,ST. HELIER,NULL,NULL,525350,167350,London,Mitcham,492,Mitcham,NULL,,1,1
002881-07012017,07.Jan.17,08:34:35,False Alarm,AFA,,Non Residential,Barn ,On land associated with building,UB7 0AQ,UB7,E09000017,HILLINGDON,E05000331,HEATHROW VILLAGES,505656,177810,505650,177850,London,Hayes,389,Heathrow,NULL,,1,1
002882-07012017,07.Jan.17,08:36:43,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW11,E09000032,WANDSWORTH,E05000620,QUEENSTOWN,NULL,NULL,528250,176750,London,Battersea,256,Battersea,301,Clapham,2,2
002887-07012017,07.Jan.17,08:54:47,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,RM1,E09000016,HAVERING,E05000319,ROMFORD TOWN,NULL,NULL,551150,189050,London,Romford,211,Romford,485,Hornchurch,3,3
002888-07012017,07.Jan.17,08:57:27,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW2,E09000022,LAMBETH,E05000435,TULSE HILL,NULL,NULL,531150,173950,London,West Norwood,305,Brixton,NULL,,1,1
002889-07012017,07.Jan.17,09:03:11,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SE25,E09000008,CROYDON,E05000161,SELHURST,NULL,NULL,533150,167950,London,Woodside,357,Woodside,NULL,,1,1
002890-07012017,07.Jan.17,09:04:02,Special Service,Special Service,Lift Release,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,E12,E09000025,NEWHAM,E05000487,LITTLE ILFORD,NULL,NULL,543150,186050,London,Ilford,NULL,,NULL,,1,1
002891-07012017,07.Jan.17,09:05:01,Special Service,Special Service,Stand By,Aircraft,Passenger plane ,Nearby address - street not listed in gazetteer,TW6 3AE,TW6,E09000017,HILLINGDON,E05000331,HEATHROW VILLAGES,508168,175169,508150,175150,London,Heathrow,319,Feltham,344,Feltham,2,3
002892-07012017,07.Jan.17,09:14:56,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,IG1,E09000026,REDBRIDGE,E05000508,MAYFIELD,NULL,NULL,544950,185950,London,Ilford,268,Ilford,NULL,,1,1
002893-07012017,07.Jan.17,09:15:41,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,SE18 2PQ,SE18,E09000011,GREENWICH,E05000227,SHOOTERS HILL,544931,177576,544950,177550,London,Plumstead,217,Plumstead,230,Plumstead,1,2
002894-07012017,07.Jan.17,09:16:33,False Alarm,AFA,,Non Residential,Other retail  ,Correct incident location,N8 8DT,N8,E09000014,HARINGEY,E05000269,CROUCH END,530072,188461,530050,188450,London,Hornsey,171,Hornsey,NULL,,1,1
002895-07012017,07.Jan.17,09:16:35,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE8,E09000028,SOUTHWARK,E05000552,SURREY DOCKS,NULL,NULL,536050,178850,London,Deptford,228,Deptford,NULL,,1,1
002896-07012017,07.Jan.17,09:20:17,False Alarm,False alarm - Good intent,,Non Residential,Private Garden Shed ,On land associated with building,,HA6,E09000017,HILLINGDON,E05000336,NORTHWOOD HILLS,NULL,NULL,510050,191050,London,Ruislip,416,Harrow,497,Ruislip,2,2
002898-07012017,07.Jan.17,09:32:52,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE18,E09000011,GREENWICH,E05000221,GLYNDON,NULL,NULL,544750,178050,London,Plumstead,295,Plumstead,NULL,,1,1
002899-07012017,07.Jan.17,09:34:03,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,SE1,E09000028,SOUTHWARK,E05000542,GRANGE,NULL,NULL,532950,179750,London,Dockhead,362,Dockhead,NULL,,1,1
002900-07012017,07.Jan.17,09:35:51,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N19,E09000019,ISLINGTON,E05000376,JUNCTION,NULL,NULL,529350,185950,London,Kentish Town,216,Kentish Town,228,Kentish Town,1,2
002901-07012017,07.Jan.17,09:38:03,False Alarm,AFA,,Non Residential,Secondary school,Correct incident location,NW3 6XH,NW3,E09000007,CAMDEN,E05000133,FROGNAL AND FITZJOHNS,526202,185414,526250,185450,London,West Hampstead,210,West Hampstead,NULL,,1,1
002902-07012017,07.Jan.17,09:39:00,False Alarm,False alarm - Good intent,,Non Residential,Purpose built office ,Correct incident location,N17 6SB,N17,E09000014,HARINGEY,E05000268,BRUCE GROVE,533806,190282,533850,190250,London,Tottenham,116,Tottenham,151,Tottenham,1,2
002903-07012017,07.Jan.17,09:41:55,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,SE1 2NE,SE1,E09000028,SOUTHWARK,E05000548,RIVERSIDE,533796,179931,533750,179950,London,Dockhead,379,Old Kent Road,NULL,,1,1
002906-07012017,07.Jan.17,09:52:33,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SW1V,E09000033,WESTMINSTER,E05000645,TACHBROOK,NULL,NULL,529550,178450,London,Lambeth,245,Lambeth,253,Lambeth,2,3
002907-07012017,07.Jan.17,09:53:00,False Alarm,AFA,,Non Residential,Doctors surgery,Correct incident location,HA5 3EE,HA5,E09000015,HARROW,E05000297,PINNER,512264,189784,512250,189750,London,Harrow,461,Northolt,NULL,,1,1
002908-07012017,07.Jan.17,09:55:16,False Alarm,AFA,,Non Residential,Secondary school,Correct incident location,N10 3JA,N10,E09000014,HARINGEY,E05000270,FORTIS GREEN,528200,189191,528250,189150,London,Hornsey,261,Hornsey,NULL,,1,1
002910-07012017,07.Jan.17,10:05:35,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W10,E09000020,KENSINGTON AND CHELSEA,E05009394,DALGARNO,NULL,NULL,523250,181850,London,North Kensington,161,North Kensington,406,Hammersmith,3,3
002911-07012017,07.Jan.17,10:10:16,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE8,E09000023,LEWISHAM,E05000443,EVELYN,NULL,NULL,537350,177550,London,Deptford,352,Greenwich,440,Deptford,2,2
002912-07012017,07.Jan.17,10:11:33,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E16,E09000025,NEWHAM,E05000477,CANNING TOWN NORTH,NULL,NULL,539750,181850,London,Plaistow,257,Plaistow,NULL,,1,1
002914-07012017,07.Jan.17,10:15:05,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,SW1Y 4LE,SW1Y,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,529443,180408,529450,180450,London,Soho,238,Soho,NULL,,1,1
002916-07012017,07.Jan.17,10:17:52,False Alarm,False alarm - Good intent,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,CR2 6AF,CR2,E09000008,CROYDON,E05000152,CROHAM,532517,163505,532550,163550,London,Croydon,207,Croydon,210,Croydon,1,2
002917-07012017,07.Jan.17,10:19:34,False Alarm,AFA,,Non Residential,Converted office ,Correct incident location,N1 2PN,N1,E09000019,ISLINGTON,E05000379,ST. MARY'S,531993,184101,531950,184150,London,Islington,151,Islington,NULL,,1,1
002918-07012017,07.Jan.17,10:19:53,False Alarm,AFA,,Other Residential,Student Hall of Residence ,Correct incident location,SE1 4WY,SE1,E09000028,SOUTHWARK,E05000537,CHAUCER,532702,179378,532750,179350,London,Old Kent Road,215,Old Kent Road,91,Dowgate,3,4
002919-07012017,07.Jan.17,10:22:46,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW16,E09000024,MERTON,E05000464,LONGTHORNTON,NULL,NULL,529850,169150,London,Norbury,278,Norbury,294,Norbury,1,2
